"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13952","Verify blog posts","chromium","Tue Feb 04 09:30:41 CET 2025","passed","Tue Feb 04 09:30:55 CET 2025","Home page","blog.spec.ts","",""
"","7986","Verify home link is enabled","chromium","Tue Feb 04 09:31:06 CET 2025","passed","Tue Feb 04 09:31:14 CET 2025","Home page","home.spec.ts","",""
"","8467","Verify the text for all nav links (multiple)","chromium","Tue Feb 04 09:31:08 CET 2025","passed","Tue Feb 04 09:31:16 CET 2025","Home page","home.spec.ts","",""
"","9780","Click get started button using css selector","chromium","Tue Feb 04 09:31:01 CET 2025","passed","Tue Feb 04 09:31:10 CET 2025","Home page","home.spec.ts","",""
"","7766","Select heading text on the main page and make sure it visible","chromium","Tue Feb 04 09:31:05 CET 2025","passed","Tue Feb 04 09:31:13 CET 2025","Home page","home.spec.ts","",""
"","8419","Open HomePage and verify title","chromium","Tue Feb 04 09:30:58 CET 2025","passed","Tue Feb 04 09:31:06 CET 2025","Home page","home.spec.ts","",""
"","18458","Access downloads","chromium","Tue Feb 04 09:30:41 CET 2025","passed","Tue Feb 04 09:31:00 CET 2025","Account Tests","account.spec.ts","",""
"","10464","get started link","chromium","Tue Feb 04 09:30:41 CET 2025","passed","Tue Feb 04 09:30:52 CET 2025","","example.spec.ts","",""
"","17060","should upload a test file - whitelabel_default.png","chromium","Tue Feb 04 09:30:57 CET 2025","passed","Tue Feb 04 09:31:14 CET 2025","File Upload Tests","fileUpload.spec.ts","",""
"","13091","Verify login button","chromium","Tue Feb 04 09:30:41 CET 2025","passed","Tue Feb 04 09:30:54 CET 2025","Login Page","account.spec.ts","",""
"","18258","Access orders","chromium","Tue Feb 04 09:30:41 CET 2025","passed","Tue Feb 04 09:31:00 CET 2025","Account Tests","account.spec.ts","",""
"","11985","has title","chromium","Tue Feb 04 09:30:41 CET 2025","passed","Tue Feb 04 09:30:53 CET 2025","","example.spec.ts","",""
"","8575","About page","chromium","Tue Feb 04 09:30:59 CET 2025","passed","Tue Feb 04 09:31:08 CET 2025","Home page","home.spec.ts","",""
"","21512","Go to Contact page and fill form and submit, assert success message","chromium","Tue Feb 04 09:30:42 CET 2025","passed","Tue Feb 04 09:31:03 CET 2025","Contact form tests","contact.spec.ts","",""
"","29330","should upload a test file - a.xlsx","chromium","Tue Feb 04 09:30:41 CET 2025","passed","Tue Feb 04 09:31:11 CET 2025","File Upload Tests","fileUpload.spec.ts","",""
